Job Title,Company,Location,Job URL
Sr. Full Stack Java Developer,Apidel Technologies,"Austin, TX",https://www.dice.com/job-detail/3352632f-74f6-4a65-bf67-efbe53ae2e68?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=69f9ed42-99e2-4a02-b989-bb948a4c541d
Full-Stack Java Developer :: Local to MN :: W2 only,1 Point System,"St Paul, MN",https://www.dice.com/job-detail/c0c1b15c-7b8a-4199-b20e-e988187a68d5?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=170ef9c4-7260-4273-8e50-ad8f2db92dbf
Full Stack Java Developer,Pronix Inc,"Piscataway, NJ",https://www.dice.com/job-detail/59128477-ac38-494f-9c11-a39b77a31fd5?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=12e02668-102f-4ecc-8b4e-41c019192e59
Full Stack Java Developer,"EVEREST CONSULTING GROUP, INC","Town and Country, St. Louis",https://www.dice.com/job-detail/fdbae8e7-f91b-46cb-a344-385888e3913c?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=e54b0b74-9c61-4942-942c-58425f72fd26
"Sr. Full Stack Java Developer, Spring Boot, SQL, AWS ECS, SQS &amp; SNS, Jenkins",SESC,"Rockville, MD",https://www.dice.com/job-detail/e773a808-8743-452c-81aa-b4e0b31e9d8d?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=7a4ddafc-73f0-4f09-bf64-82a501d46a84
Full-stack Java Developer,Genisys Technologies,"Minneapolis, MN",https://www.dice.com/job-detail/725c4b13-8a94-4f21-b31c-6a3cf46c90da?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=cfc2e3b0-523a-42d2-85fc-64a7653215f2
Full Stack Developer - Remote,Nava Software Solutions,"Remote or Jersey City, NJ",https://www.dice.com/job-detail/dbb17015-9cfc-441d-a234-e141f2502cc6?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=3d408622-8311-4509-9418-d1ca17439433
Java Fullstack,Ravh IT Solutions,"Berkeley Heights, NJ",https://www.dice.com/job-detail/bf6ecf2a-535f-49c1-877a-8d48cc6fcb1e?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=4d38b066-f667-42b1-9ba8-9dc489f9eba9
Full-Stack Engineer - Java (Health Care Domain),Geneses Tech Solutions LLC,"Minneapolis, MN",https://www.dice.com/job-detail/dd39fb70-68ea-46e7-b3b4-bbbd8c6b25bf?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=5c932146-b288-4654-8f00-3c39748adb6c
Java Aurora Developer,Reliance Softsystems Inc,"Palo Alto, CA",https://www.dice.com/job-detail/598f9370-9208-4f1b-8326-64e3ef03b678?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=4d2baf49-e286-4b04-a547-8330abe81cbe
Sr. Java Developer,Data Wave Technologies Inc,"Berkeley Heights, NJ",https://www.dice.com/job-detail/dc44deec-5c39-404b-a0ca-09dcc99d21fb?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=7d8e3e31-ad9d-46e6-a19e-fc3179643614
Java Developer-L2 Support,Euclid Innovations,"New York, NY",https://www.dice.com/job-detail/5a83115f-e88d-4437-9d59-a52c02323a9d?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=12173b29-a7fe-455f-b568-2370f4d2fd6f
Need for Java Developer Local to Michigan,4-Serv Solutions Inc.,"Lansing, MI",https://www.dice.com/job-detail/e8a9a4e6-6149-4a41-adfc-1b1e597f2188?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=d9c9b1be-c336-4682-bfb0-2b073285cf76
"Looking for Java Developer in New York, NY(onsite) 3x a week Mandatory - Local candidate",Saksoft,"New York, NY",https://www.dice.com/job-detail/feab0c76-c426-4354-81a7-3d516f4623c2?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=fc4d1f7f-d718-4712-babe-5dc517829051
Java Developer,Adbakx LLC,"Marysville, OH",https://www.dice.com/job-detail/8fe74f8c-1627-43f1-821e-8e62b287362a?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=d27124f0-fe44-4558-a824-1b5972b79e38
"Sr. Java Developer - Hybrid in Richmond, VA - W2 only",Empower Professionals,"Richmond, VA",https://www.dice.com/job-detail/a9ca4d61-b261-405c-9179-dbdd21adf5a1?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=19931b68-8cc0-4896-b962-ad08da48736e
"Senior Java Developer/Python Developer with AWS - Plano, TX (Onsite)",ProCorp Systems Inc.,"Plano, TX",https://www.dice.com/job-detail/3389da32-bc99-47fb-a899-b51386e7808f?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=496e62b3-00e8-4bef-a903-caf5e976a2d7
Java Backend Developer  REMOTE WORK 45996,"PRIMUS Global Services Inc.,","Dallas, TX",https://www.dice.com/job-detail/2118600e-a701-4c05-b9d9-53ad87573b8e?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=f7c2ec77-ef7d-4f0f-a50c-9004597eaba0
"Java Developer With AWS @ Plano, TX (Must day one onsite)",ProCorp Systems Inc.,"Plano, TX",https://www.dice.com/job-detail/5f194c91-6b7b-45bd-b97c-b81f4a1f59ee?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=e95efbd1-ac74-462f-bc45-aaaaff0bf6d8
Java Nodejs Developer,Synechron,"Nashville, TN",https://www.dice.com/job-detail/4b57c2aa-6b13-4cab-9c62-99c9c4fbbf63?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=e527fb9c-7b04-4f94-b44c-1a3fd303c3ad
Immediate interview for Java Back End Developer - Hybrid,Cerebra Consulting Inc,"Richmond, VA",https://www.dice.com/job-detail/5a28de3f-8962-4369-80f1-eb746eb7772d?searchlink=search%2F%3Fq%3Djava%2520fullstack%2520developer%2520%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.easyApply%3Dtrue%26language%3Den%26eid%3Dqpw_&searchId=50bcc394-7178-4d20-9967-43156a3e6901
